id,code,name,active
company_activity_269501,269501,"FABRICACION DE ARTICULOS DE CEMENTO, YESO Y HORMIGON PARA LA CONSTRUCCION",TRUE
company_activity_269601,269601,"CORTE, TALLADO Y ACABADO DE LA PIEDRA",TRUE
company_activity_269901,269901,FABRICACION DE OTROS PRODUCTOS MINERALES NO METALICOS N.C.P.,TRUE
company_activity_271001,271001,INDUSTRIAS BASICAS DE HIERRO Y ACERO,TRUE
company_activity_272001,272001,FABRICACION DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS,TRUE
company_activity_273101,273101,FUNDICION DE HIERRO Y ACERO,TRUE
company_activity_273201,273201,FUNDICION DE METALES NO FERROSOS,TRUE
company_activity_281101,281101,FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL,TRUE
company_activity_281201,281201,"FABRICACION DE TANQUES, DEPOSITOS Y RECIPIENTES DE METAL",TRUE
company_activity_281301,281301,"FABRICACION GENERADORES DE VAPOR, EXCEPTO CALDERAS DE AGUA CALIENTE PARA CALEFACCION",TRUE
company_activity_289201,289201,SERVICIOS DE SOLDADURA,TRUE
company_activity_289202,289202,SERVICIO DE TRATAMIENTO Y REVESTIMIENTO DE TODO TIPO DE MATERIALES,TRUE
company_activity_289302,289302,HOJALATERIA,TRUE
company_activity_289304,289304,TALLER DE MECANICA DE PRECISION,TRUE
company_activity_289305,289305,"FABRICACION DE PIEZAS, ARTICULOS Y ACCESORIOS DE METAL INCLUYE LAS CERRAJERIAS.",TRUE
company_activity_289306,289306,SERVICIOS DE TORNO (MECANICA DE PRECISION),TRUE
company_activity_289902,289902,FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.,TRUE
company_activity_290001,290001,SERVICIO DE REPARACION DE MAQUINARIA Y EQUIPO.,TRUE
company_activity_290003,290003,SERVICIO DE MANTENIMIENTO DE MAQUINARIA Y EQUIPO.,TRUE
company_activity_291101,291101,"FABRICACION DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHICULOS AUT",TRUE
company_activity_291201,291201,"FABRICACION DE BOMBAS, COMPRESORES, GRIFOS Y VALVULAS",TRUE
company_activity_291202,291202,VENTA DE BOMBAS DE AGUA,TRUE
company_activity_291401,291401,FABRICACION DE HORNOS Y QUEMADORES,TRUE
company_activity_291901,291901,REPARACION DE EQUIPO DE REFRIGERACION Y CONGELACION,TRUE
company_activity_291903,291903,INSTALACION Y/O MANTENIMIENTO DE EQUIPO DE REFRIGERACION Y CONGELACION,TRUE
company_activity_292101,292101,FABRICACION DE MAQUINARIA AGRICOLA,TRUE
company_activity_292201,292201,FABRICACION DE MAQUINAS HERRAMIENTA,TRUE
company_activity_292301,292301,FABRICACION DE MAQUINARIA METALÚRGICA,TRUE
company_activity_292401,292401,FABRICACION DE MAQUINARIA PARA LA EXPLOTACION DE MINAS Y CANTERAS ,TRUE
company_activity_292402,292402,PERFORACION DE POZOS,TRUE
company_activity_292501,292501,"FABRICACION DE MAQUINARIA PARA LA ELABORACION DE ALIMENTOS,BEBIDAS Y TABACO",TRUE
company_activity_292601,292601,"FABRICACION MAQUINARIA PARA LA ELABORACION DE PRODUCTOS TEXTILES, PRENDAS DE VES",TRUE
company_activity_292701,292701,FABRICACION DE ARMAS Y MUNICIONES,TRUE
company_activity_292901,292901,FABRICACION DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL,TRUE
company_activity_293001,293001,FABRICACION DE APARATOS DE USO DOMESTICO N.C.P.,TRUE
company_activity_300001,300001,"FABRICACION DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMATICA",TRUE
company_activity_311001,311001,"FABRICACION DE MOTORES, GENERADORES Y TRANSFORMADORES ELECTRICOS, PARTES Y ACCESORIOS",TRUE
company_activity_313001,313001,FABRICACION DE HILOS Y CABLES AISLADOS,TRUE
company_activity_314001,314001,"FABRICACION DE PILAS, BATERIAS Y ACUMULADORES",TRUE
company_activity_315001,315001,FABRICACION DE LAMPARAS ELECTRICAS Y EQUIPO DE ILUMINACION,TRUE
company_activity_319001,319001,FABRICACION DE OTROS TIPOS DE EQUIPO ELECTRICO N.C.P.,TRUE
company_activity_321001,321001,MANUFACTURA O FABRICACION DE OTROS COMPONENTES ELECTRONICOS,TRUE
company_activity_321002,321002,DISENO DE COMPONENTES ELECTRONICOS,TRUE
company_activity_322001,322001,FABRICACION DE TRANSMISORES Y RECEPTORES DE RADIO Y TELEVISION,TRUE
company_activity_331101,331101,FABRICACION  DE PROTESIS EN GENERAL,TRUE
company_activity_331102,331102,FABRICACION Y COMERCIALIZACION DE EQUIPO MEDICO,TRUE
company_activity_331103,331103,FABRICACION Y COMERCIALIZACION DE ZAPATOS ORTOPEDICOS,TRUE
company_activity_331201,331201,"FABRICACION DE EQUIPOS PARA MEDIR, VERIFICAR, Y NAVEGAR Y DE EQUIPOS DE CONTROL",TRUE
company_activity_332001,332001,FABRICACION DE INSTRUMENTOS OPTICOS Y EQUIPO FOTOGRAFICO,TRUE
company_activity_333001,333001,FABRICACION DE RELOJES DE TODO TIPO,TRUE
company_activity_341001,341001,FABRICACION DE VEHICULOS AUTOMOTORES,TRUE
company_activity_342001,342001,"FABRICACION DE CARROCERIAS PARA VEHICULOS AUTOMOTORES, REMOLQUES Y SEMIREMOLQUES",TRUE
company_activity_034200,034200,2 FABRICACION DE CARROCERIAS PARA CAMIONES DE LAS PARTIDAS ARANCELARIAS 870790002,TRUE
company_activity_343001,343001,"FABRICACION DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES",TRUE
company_activity_351101,351101,SERVICIO DE REPARACION DE EMBARCACIONES Y SUS PARTES Y/O ESTRUCTURAS FLOTANTES,TRUE
